main-2019-11-11T12:43:47.140265.jpg;45,384,476,638,0 464,547,567,591,0 591,546,659,578,0 
main-2019-11-11T12:43:48.143061.jpg;45,384,476,638,0 464,547,567,591,0 591,546,659,578,0 
main-2019-11-11T12:43:49.140595.jpg;45,384,476,638,0 464,547,567,591,0 591,546,659,578,0 
main-2019-11-11T12:43:50.173460.jpg;45,384,476,638,0 464,547,567,591,0 591,546,659,578,0 
main-2019-11-11T12:43:51.209500.jpg;45,384,476,638,0 464,547,567,591,0 591,546,659,578,0 
main-2019-11-11T12:43:52.207539.jpg;45,384,476,638,0 464,547,567,591,0 591,546,659,578,0 
main-2019-11-11T12:43:53.239243.jpg;45,384,476,638,0 464,547,567,591,0 591,546,659,578,0 
main-2019-11-11T12:43:54.257961.jpg;45,384,476,638,0 464,547,567,591,0 591,546,659,578,0 
main-2019-11-11T12:43:55.274867.jpg;45,384,476,638,0 464,547,567,591,0 591,546,659,578,0 
main-2019-11-11T12:43:56.306463.jpg;45,384,476,638,0 464,547,567,591,0 591,546,659,578,0 
main-2019-11-11T12:43:57.309243.jpg;45,384,476,638,0 464,547,567,591,0 591,546,659,578,0 
main-2019-11-11T12:43:58.309454.jpg;45,384,476,638,0 464,547,567,591,0 591,546,659,578,0 
main-2019-11-11T12:43:59.310323.jpg;0,0,737,1079,0 
main-2019-11-11T12:44:00.319262.jpg;411,260,845,715,0 45,384,476,638,0 1079,533,1086,561,1 1067,533,1075,561,1 
main-2019-11-11T12:44:01.316626.jpg;691,403,885,624,0 455,547,561,591,0 586,545,656,578,0 1073,532,1083,560,1 
main-2019-11-11T12:44:02.360005.jpg;776,451,901,600,0 0,204,793,910,0 1069,536,1077,564,1 
main-2019-11-11T12:44:03.347043.jpg;811,470,908,590,0 0,348,398,667,0 459,398,845,702,0 1074,536,1082,566,1 395,553,519,602,0 
main-2019-11-11T12:44:04.371744.jpg;823,480,911,587,0 558,430,856,671,0 230,557,410,622,0 476,554,575,596,0 1086,538,1095,571,1 
main-2019-11-11T12:44:05.381952.jpg;912,483,996,587,0 663,436,943,668,0 0,567,298,663,0 436,559,572,614,0 1191,535,1202,574,1 
main-2019-11-11T12:44:06.383975.jpg;831,425,1064,640,0 1379,519,1393,560,1 344,541,545,615,0 1319,517,1333,564,1 
main-2019-11-11T12:44:07.431677.jpg;954,465,1121,631,0 1451,534,1466,580,1 178,559,465,658,0 1472,535,1487,580,1 1395,532,1411,586,1 
main-2019-11-11T12:44:08.416479.jpg;920,462,1058,601,0 1433,517,1447,565,1 1364,513,1384,577,1 
main-2019-11-11T12:44:09.420961.jpg;955,493,1056,595,0 1427,530,1444,579,1 1442,531,1456,578,1 1379,526,1400,593,1 
main-2019-11-11T12:44:10.449498.jpg;972,504,1054,586,0 1420,525,1444,601,1 
main-2019-11-11T12:44:11.459390.jpg;978,509,1054,584,0 
main-2019-11-11T12:44:12.459313.jpg;835,550,865,568,0 949,510,1025,586,0 1664,531,1686,601,1 1293,540,1303,570,1 
